1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9A00000014989241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Oct 05 14:40:01 CDT 2012
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Oct 05 14:40:01 CDT 2012
Total Mission Samples:  4096
Total Device Samples:  39568
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/5/12 2:40:01 PM,C,27.693
10/5/12 3:40:01 PM,C,25.193
10/5/12 4:40:01 PM,C,25.193
10/5/12 5:40:01 PM,C,26.693
10/5/12 6:40:01 PM,C,22.192
10/5/12 7:40:01 PM,C,16.683
10/5/12 8:40:01 PM,C,16.683
10/5/12 9:40:01 PM,C,15.68
10/5/12 10:40:01 PM,C,15.178
10/5/12 11:40:01 PM,C,15.178
10/6/12 12:40:01 AM,C,14.677
10/6/12 1:40:01 AM,C,14.677
10/6/12 2:40:01 AM,C,15.178
10/6/12 3:40:01 AM,C,15.178
10/6/12 4:40:01 AM,C,15.178
10/6/12 5:40:01 AM,C,15.178
10/6/12 6:40:01 AM,C,14.677
10/6/12 7:40:01 AM,C,14.175
10/6/12 8:40:01 AM,C,14.175
10/6/12 9:40:01 AM,C,15.68
10/6/12 10:40:01 AM,C,22.692
10/6/12 11:40:01 AM,C,21.191
10/6/12 12:40:01 PM,C,21.691
10/6/12 1:40:01 PM,C,22.692
10/6/12 2:40:01 PM,C,23.193
10/6/12 3:40:01 PM,C,23.693
10/6/12 4:40:01 PM,C,23.193
10/6/12 5:40:01 PM,C,25.693
10/6/12 6:40:01 PM,C,19.689
10/6/12 7:40:01 PM,C,15.178
10/6/12 8:40:01 PM,C,15.178
10/6/12 9:40:01 PM,C,15.178
10/6/12 10:40:01 PM,C,14.175
10/6/12 11:40:01 PM,C,10.16
10/7/12 12:40:01 AM,C,8.653
10/7/12 1:40:01 AM,C,8.653
10/7/12 2:40:01 AM,C,7.146
10/7/12 3:40:01 AM,C,4.631
10/7/12 4:40:01 AM,C,3.122
10/7/12 5:40:01 AM,C,3.122
10/7/12 6:40:01 AM,C,10.16
10/7/12 7:40:01 AM,C,9.658
10/7/12 8:40:01 AM,C,6.14
10/7/12 9:40:01 AM,C,11.666
10/7/12 10:40:01 AM,C,16.181
10/7/12 11:40:01 AM,C,15.68
10/7/12 12:40:01 PM,C,16.181
10/7/12 1:40:01 PM,C,19.689
10/7/12 2:40:01 PM,C,19.188
10/7/12 3:40:01 PM,C,19.689
10/7/12 4:40:01 PM,C,19.188
10/7/12 5:40:01 PM,C,21.691
10/7/12 6:40:01 PM,C,17.685
10/7/12 7:40:01 PM,C,13.674
10/7/12 8:40:01 PM,C,11.666
10/7/12 9:40:01 PM,C,11.666
10/7/12 10:40:01 PM,C,11.164
10/7/12 11:40:01 PM,C,11.666
10/8/12 12:40:01 AM,C,11.164
10/8/12 1:40:01 AM,C,14.175
10/8/12 2:40:01 AM,C,13.172
10/8/12 3:40:01 AM,C,13.172
10/8/12 4:40:01 AM,C,13.172
10/8/12 5:40:01 AM,C,12.67
10/8/12 6:40:01 AM,C,12.168
10/8/12 7:40:01 AM,C,12.168
10/8/12 8:40:01 AM,C,12.67
10/8/12 9:40:01 AM,C,14.677
10/8/12 10:40:01 AM,C,22.192
10/8/12 11:40:01 AM,C,18.687
10/8/12 12:40:01 PM,C,20.69
10/8/12 1:40:01 PM,C,21.691
10/8/12 2:40:01 PM,C,22.192
10/8/12 3:40:01 PM,C,23.193
10/8/12 4:40:01 PM,C,22.192
10/8/12 5:40:01 PM,C,24.193
10/8/12 6:40:01 PM,C,20.19
10/8/12 7:40:01 PM,C,16.181
10/8/12 8:40:01 PM,C,15.68
10/8/12 9:40:01 PM,C,15.68
10/8/12 10:40:01 PM,C,16.181
10/8/12 11:40:01 PM,C,15.68
10/9/12 12:40:01 AM,C,15.178
10/9/12 1:40:01 AM,C,16.181
10/9/12 2:40:01 AM,C,17.184
10/9/12 3:40:01 AM,C,16.181
10/9/12 4:40:01 AM,C,16.181
10/9/12 5:40:01 AM,C,15.68
10/9/12 6:40:01 AM,C,15.178
10/9/12 7:40:01 AM,C,12.67
10/9/12 8:40:01 AM,C,13.674
10/9/12 9:40:01 AM,C,16.181
10/9/12 10:40:01 AM,C,21.691
10/9/12 11:40:01 AM,C,20.69
10/9/12 12:40:01 PM,C,21.191
10/9/12 1:40:01 PM,C,22.692
10/9/12 2:40:01 PM,C,23.193
10/9/12 3:40:01 PM,C,24.193
10/9/12 4:40:01 PM,C,23.193
10/9/12 5:40:01 PM,C,25.193
10/9/12 6:40:01 PM,C,20.69
10/9/12 7:40:01 PM,C,15.68
10/9/12 8:40:01 PM,C,14.677
10/9/12 9:40:01 PM,C,15.178
10/9/12 10:40:01 PM,C,14.677
10/9/12 11:40:01 PM,C,14.175
10/10/12 12:40:01 AM,C,14.677
10/10/12 1:40:01 AM,C,14.677
10/10/12 2:40:01 AM,C,14.677
10/10/12 3:40:01 AM,C,14.677
10/10/12 4:40:01 AM,C,15.178
10/10/12 5:40:01 AM,C,14.175
10/10/12 6:40:01 AM,C,15.178
10/10/12 7:40:01 AM,C,14.175
10/10/12 8:40:01 AM,C,15.178
10/10/12 9:40:01 AM,C,14.677
10/10/12 10:40:01 AM,C,23.193
10/10/12 11:40:01 AM,C,21.191
10/10/12 12:40:01 PM,C,21.691
10/10/12 1:40:01 PM,C,23.193
10/10/12 2:40:01 PM,C,23.193
10/10/12 3:40:01 PM,C,22.192
10/10/12 4:40:01 PM,C,21.691
10/10/12 5:40:01 PM,C,22.692
10/10/12 6:40:01 PM,C,18.186
10/10/12 7:40:01 PM,C,16.181
10/10/12 8:40:01 PM,C,15.68
10/10/12 9:40:01 PM,C,14.677
10/10/12 10:40:01 PM,C,15.68
10/10/12 11:40:01 PM,C,14.175
10/11/12 12:40:01 AM,C,14.677
10/11/12 1:40:01 AM,C,14.677
10/11/12 2:40:01 AM,C,15.178
10/11/12 3:40:01 AM,C,15.68
10/11/12 4:40:01 AM,C,15.68
10/11/12 5:40:01 AM,C,15.178
10/11/12 6:40:01 AM,C,15.178
10/11/12 7:40:01 AM,C,15.178
10/11/12 8:40:01 AM,C,15.178
10/11/12 9:40:01 AM,C,16.181
10/11/12 10:40:01 AM,C,21.191
10/11/12 11:40:01 AM,C,20.19
10/11/12 12:40:01 PM,C,21.691
10/11/12 1:40:01 PM,C,23.693
10/11/12 2:40:01 PM,C,24.193
10/11/12 3:40:01 PM,C,24.693
10/11/12 4:40:01 PM,C,22.692
10/11/12 5:40:01 PM,C,26.193
10/11/12 6:40:01 PM,C,21.191
10/11/12 7:40:01 PM,C,18.687
10/11/12 8:40:01 PM,C,18.186
10/11/12 9:40:01 PM,C,17.685
10/11/12 10:40:01 PM,C,16.181
10/11/12 11:40:01 PM,C,17.184
10/12/12 12:40:01 AM,C,16.683
10/12/12 1:40:01 AM,C,18.186
10/12/12 2:40:01 AM,C,16.683
10/12/12 3:40:01 AM,C,16.181
10/12/12 4:40:01 AM,C,15.68
10/12/12 5:40:01 AM,C,16.683
10/12/12 6:40:01 AM,C,16.181
10/12/12 7:40:01 AM,C,16.181
10/12/12 8:40:01 AM,C,16.181
10/12/12 9:40:01 AM,C,17.685
10/12/12 10:40:01 AM,C,18.186
10/12/12 11:40:01 AM,C,21.191
10/12/12 12:40:01 PM,C,21.691
10/12/12 1:40:01 PM,C,22.692
10/12/12 2:40:01 PM,C,22.692
10/12/12 3:40:01 PM,C,22.692
10/12/12 4:40:01 PM,C,22.192
10/12/12 5:40:01 PM,C,24.693
10/12/12 6:40:01 PM,C,20.19
10/12/12 7:40:01 PM,C,18.687
10/12/12 8:40:01 PM,C,17.685
10/12/12 9:40:01 PM,C,16.181
10/12/12 10:40:01 PM,C,16.181
10/12/12 11:40:01 PM,C,15.68
10/13/12 12:40:01 AM,C,15.68
10/13/12 1:40:01 AM,C,14.677
10/13/12 2:40:01 AM,C,14.175
10/13/12 3:40:01 AM,C,14.677
10/13/12 4:40:01 AM,C,14.677
10/13/12 5:40:01 AM,C,14.175
10/13/12 6:40:01 AM,C,13.674
10/13/12 7:40:01 AM,C,13.172
10/13/12 8:40:01 AM,C,13.674
10/13/12 9:40:01 AM,C,14.677
10/13/12 10:40:01 AM,C,19.689
10/13/12 11:40:01 AM,C,18.186
10/13/12 12:40:01 PM,C,18.687
10/13/12 1:40:01 PM,C,20.69
10/13/12 2:40:01 PM,C,20.19
10/13/12 3:40:01 PM,C,21.691
10/13/12 4:40:01 PM,C,20.69
10/13/12 5:40:01 PM,C,22.692
10/13/12 6:40:01 PM,C,17.685
10/13/12 7:40:01 PM,C,16.683
10/13/12 8:40:01 PM,C,16.181
10/13/12 9:40:01 PM,C,15.178
10/13/12 10:40:01 PM,C,14.677
10/13/12 11:40:01 PM,C,13.674
10/14/12 12:40:01 AM,C,12.168
10/14/12 1:40:01 AM,C,12.67
10/14/12 2:40:01 AM,C,11.666
10/14/12 3:40:01 AM,C,10.16
10/14/12 4:40:01 AM,C,9.658
10/14/12 5:40:01 AM,C,10.662
10/14/12 6:40:01 AM,C,9.658
10/14/12 7:40:01 AM,C,8.653
10/14/12 8:40:01 AM,C,9.156
10/14/12 9:40:01 AM,C,10.16
10/14/12 10:40:01 AM,C,17.184
10/14/12 11:40:01 AM,C,15.178
10/14/12 12:40:01 PM,C,17.184
10/14/12 1:40:01 PM,C,18.687
10/14/12 2:40:01 PM,C,19.188
10/14/12 3:40:01 PM,C,20.69
10/14/12 4:40:01 PM,C,19.188
10/14/12 5:40:01 PM,C,19.689
10/14/12 6:40:01 PM,C,14.175
10/14/12 7:40:01 PM,C,12.67
10/14/12 8:40:01 PM,C,11.666
10/14/12 9:40:01 PM,C,11.666
10/14/12 10:40:01 PM,C,12.168
10/14/12 11:40:01 PM,C,11.666
10/15/12 12:40:01 AM,C,11.666
10/15/12 1:40:01 AM,C,11.164
10/15/12 2:40:01 AM,C,11.666
10/15/12 3:40:01 AM,C,11.666
10/15/12 4:40:01 AM,C,11.666
10/15/12 5:40:01 AM,C,11.164
10/15/12 6:40:01 AM,C,10.16
10/15/12 7:40:01 AM,C,10.16
10/15/12 8:40:01 AM,C,11.164
10/15/12 9:40:01 AM,C,14.677
10/15/12 10:40:01 AM,C,16.181
10/15/12 11:40:01 AM,C,17.184
10/15/12 12:40:01 PM,C,17.685
10/15/12 1:40:01 PM,C,18.186
10/15/12 2:40:01 PM,C,20.19
10/15/12 3:40:01 PM,C,20.69
10/15/12 4:40:01 PM,C,19.689
10/15/12 5:40:01 PM,C,18.186
10/15/12 6:40:01 PM,C,16.181
10/15/12 7:40:01 PM,C,14.677
10/15/12 8:40:01 PM,C,14.175
10/15/12 9:40:01 PM,C,14.175
10/15/12 10:40:01 PM,C,14.677
10/15/12 11:40:01 PM,C,14.175
10/16/12 12:40:01 AM,C,13.674
10/16/12 1:40:01 AM,C,13.172
10/16/12 2:40:01 AM,C,13.172
10/16/12 3:40:01 AM,C,13.172
10/16/12 4:40:01 AM,C,12.168
10/16/12 5:40:01 AM,C,11.666
10/16/12 6:40:01 AM,C,12.168
10/16/12 7:40:01 AM,C,12.67
10/16/12 8:40:01 AM,C,12.67
10/16/12 9:40:01 AM,C,14.175
10/16/12 10:40:01 AM,C,17.184
10/16/12 11:40:01 AM,C,16.181
10/16/12 12:40:01 PM,C,17.184
10/16/12 1:40:01 PM,C,18.186
10/16/12 2:40:01 PM,C,19.188
10/16/12 3:40:01 PM,C,19.689
10/16/12 4:40:01 PM,C,19.188
10/16/12 5:40:01 PM,C,20.19
10/16/12 6:40:01 PM,C,16.683
10/16/12 7:40:01 PM,C,15.68
10/16/12 8:40:01 PM,C,14.677
10/16/12 9:40:01 PM,C,14.677
10/16/12 10:40:01 PM,C,14.175
10/16/12 11:40:01 PM,C,15.178
10/17/12 12:40:01 AM,C,15.178
10/17/12 1:40:01 AM,C,15.68
10/17/12 2:40:01 AM,C,16.181
10/17/12 3:40:01 AM,C,15.68
10/17/12 4:40:01 AM,C,15.68
10/17/12 5:40:01 AM,C,14.677
10/17/12 6:40:01 AM,C,14.677
10/17/12 7:40:01 AM,C,14.175
10/17/12 8:40:01 AM,C,13.674
10/17/12 9:40:01 AM,C,14.175
10/17/12 10:40:01 AM,C,18.186
10/17/12 11:40:01 AM,C,17.685
10/17/12 12:40:01 PM,C,18.687
10/17/12 1:40:01 PM,C,22.192
10/17/12 2:40:01 PM,C,21.691
10/17/12 3:40:01 PM,C,23.693
10/17/12 4:40:01 PM,C,23.193
10/17/12 5:40:01 PM,C,21.191
10/17/12 6:40:01 PM,C,19.689
10/17/12 7:40:01 PM,C,18.186
10/17/12 8:40:01 PM,C,17.685
10/17/12 9:40:01 PM,C,16.683
10/17/12 10:40:01 PM,C,16.683
10/17/12 11:40:01 PM,C,16.683
10/18/12 12:40:01 AM,C,17.184
10/18/12 1:40:01 AM,C,17.184
10/18/12 2:40:01 AM,C,17.184
10/18/12 3:40:01 AM,C,16.683
10/18/12 4:40:01 AM,C,15.68
10/18/12 5:40:01 AM,C,16.181
10/18/12 6:40:01 AM,C,14.175
10/18/12 7:40:01 AM,C,13.674
10/18/12 8:40:01 AM,C,13.674
10/18/12 9:40:01 AM,C,14.175
10/18/12 10:40:01 AM,C,19.689
10/18/12 11:40:01 AM,C,19.188
10/18/12 12:40:01 PM,C,20.19
10/18/12 1:40:01 PM,C,22.692
10/18/12 2:40:01 PM,C,21.691
10/18/12 3:40:01 PM,C,23.693
10/18/12 4:40:01 PM,C,22.692
10/18/12 5:40:01 PM,C,24.193
10/18/12 6:40:01 PM,C,18.186
10/18/12 7:40:01 PM,C,16.181
10/18/12 8:40:01 PM,C,17.184
10/18/12 9:40:01 PM,C,14.175
10/18/12 10:40:01 PM,C,15.178
10/18/12 11:40:01 PM,C,15.178
10/19/12 12:40:01 AM,C,14.677
10/19/12 1:40:01 AM,C,14.175
10/19/12 2:40:01 AM,C,13.674
10/19/12 3:40:01 AM,C,14.175
10/19/12 4:40:01 AM,C,14.677
10/19/12 5:40:01 AM,C,14.175
10/19/12 6:40:01 AM,C,13.674
10/19/12 7:40:01 AM,C,14.175
10/19/12 8:40:01 AM,C,14.175
10/19/12 9:40:01 AM,C,15.68
10/19/12 10:40:01 AM,C,21.191
10/19/12 11:40:01 AM,C,20.19
10/19/12 12:40:01 PM,C,21.191
10/19/12 1:40:01 PM,C,24.193
10/19/12 2:40:01 PM,C,23.193
10/19/12 3:40:01 PM,C,23.693
10/19/12 4:40:01 PM,C,24.193
10/19/12 5:40:01 PM,C,23.693
10/19/12 6:40:01 PM,C,19.188
10/19/12 7:40:01 PM,C,16.181
10/19/12 8:40:01 PM,C,15.178
10/19/12 9:40:01 PM,C,15.178
10/19/12 10:40:01 PM,C,16.181
10/19/12 11:40:01 PM,C,16.683
10/20/12 12:40:01 AM,C,17.184
10/20/12 1:40:01 AM,C,17.184
10/20/12 2:40:01 AM,C,17.184
10/20/12 3:40:01 AM,C,17.184
10/20/12 4:40:01 AM,C,16.683
10/20/12 5:40:01 AM,C,16.683
10/20/12 6:40:01 AM,C,16.683
10/20/12 7:40:01 AM,C,17.184
10/20/12 8:40:01 AM,C,16.683
10/20/12 9:40:01 AM,C,17.685
10/20/12 10:40:01 AM,C,21.691
10/20/12 11:40:01 AM,C,21.191
10/20/12 12:40:01 PM,C,21.691
10/20/12 1:40:01 PM,C,21.191
