1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BE00000013AED841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sun May 08 09:03:01 CDT 2011
Mission Sample Count:  6958
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun May 08 09:03:01 CDT 2011
Total Mission Samples:  6958
Total Device Samples:  15619
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/8/11 9:03:01 AM,C,25.637
5/8/11 9:18:01 AM,C,24.637
5/8/11 9:33:01 AM,C,25.137
5/8/11 9:48:01 AM,C,25.637
5/8/11 10:03:01 AM,C,25.637
5/8/11 10:18:01 AM,C,27.636
5/8/11 10:33:01 AM,C,27.136
5/8/11 10:48:01 AM,C,28.136
5/8/11 11:03:01 AM,C,28.636
5/8/11 11:18:01 AM,C,29.135
5/8/11 11:33:01 AM,C,28.636
5/8/11 11:48:01 AM,C,28.636
5/8/11 12:03:01 PM,C,28.136
5/8/11 12:18:01 PM,C,28.136
5/8/11 12:33:01 PM,C,28.636
5/8/11 12:48:01 PM,C,29.135
5/8/11 1:03:01 PM,C,29.135
5/8/11 1:18:01 PM,C,29.135
5/8/11 1:33:01 PM,C,29.635
5/8/11 1:48:01 PM,C,30.135
5/8/11 2:03:01 PM,C,28.636
5/8/11 2:18:01 PM,C,30.135
5/8/11 2:33:01 PM,C,30.135
5/8/11 2:48:01 PM,C,32.132
5/8/11 3:03:01 PM,C,30.634
5/8/11 3:18:01 PM,C,30.135
5/8/11 3:33:01 PM,C,31.633
5/8/11 3:48:01 PM,C,30.634
5/8/11 4:03:01 PM,C,31.133
5/8/11 4:18:01 PM,C,30.634
5/8/11 4:33:01 PM,C,31.133
5/8/11 4:48:01 PM,C,32.631
5/8/11 5:03:01 PM,C,33.63
5/8/11 5:18:01 PM,C,34.129
5/8/11 5:33:01 PM,C,31.633
5/8/11 5:48:01 PM,C,32.132
5/8/11 6:03:01 PM,C,33.131
5/8/11 6:18:01 PM,C,31.633
5/8/11 6:33:01 PM,C,33.131
5/8/11 6:48:01 PM,C,29.135
5/8/11 7:03:01 PM,C,30.135
5/8/11 7:18:01 PM,C,29.635
5/8/11 7:33:01 PM,C,27.136
5/8/11 7:48:01 PM,C,25.637
5/8/11 8:03:01 PM,C,25.137
5/8/11 8:18:01 PM,C,24.637
5/8/11 8:33:01 PM,C,24.137
5/8/11 8:48:01 PM,C,23.136
5/8/11 9:03:01 PM,C,22.136
5/8/11 9:18:01 PM,C,21.135
5/8/11 9:33:01 PM,C,20.134
5/8/11 9:48:01 PM,C,19.133
5/8/11 10:03:01 PM,C,19.133
5/8/11 10:18:01 PM,C,20.134
5/8/11 10:33:01 PM,C,19.133
5/8/11 10:48:01 PM,C,18.632
5/8/11 11:03:01 PM,C,17.13
5/8/11 11:18:01 PM,C,17.63
5/8/11 11:33:01 PM,C,19.633
5/8/11 11:48:01 PM,C,21.135
5/9/11 12:03:01 AM,C,22.136
5/9/11 12:18:01 AM,C,22.636
5/9/11 12:33:01 AM,C,17.63
5/9/11 12:48:01 AM,C,17.63
5/9/11 1:03:01 AM,C,17.13
5/9/11 1:18:01 AM,C,18.131
5/9/11 1:33:01 AM,C,17.13
5/9/11 1:48:01 AM,C,17.63
5/9/11 2:03:01 AM,C,17.13
5/9/11 2:18:01 AM,C,16.629
5/9/11 2:33:01 AM,C,16.128
5/9/11 2:48:01 AM,C,15.627
5/9/11 3:03:01 AM,C,16.629
5/9/11 3:18:01 AM,C,16.128
5/9/11 3:33:01 AM,C,15.126
5/9/11 3:48:01 AM,C,16.128
5/9/11 4:03:01 AM,C,16.629
5/9/11 4:18:01 AM,C,18.632
5/9/11 4:33:01 AM,C,19.633
5/9/11 4:48:01 AM,C,20.134
5/9/11 5:03:01 AM,C,20.634
5/9/11 5:18:01 AM,C,20.134
5/9/11 5:33:01 AM,C,20.134
5/9/11 5:48:01 AM,C,19.633
5/9/11 6:03:01 AM,C,19.633
5/9/11 6:18:01 AM,C,19.133
5/9/11 6:33:01 AM,C,19.133
5/9/11 6:48:01 AM,C,18.632
5/9/11 7:03:01 AM,C,18.632
5/9/11 7:18:01 AM,C,19.133
5/9/11 7:33:01 AM,C,19.133
5/9/11 7:48:01 AM,C,19.633
5/9/11 8:03:01 AM,C,20.134
5/9/11 8:18:01 AM,C,22.136
5/9/11 8:33:01 AM,C,24.137
5/9/11 8:48:01 AM,C,22.636
5/9/11 9:03:01 AM,C,22.136
5/9/11 9:18:01 AM,C,23.136
5/9/11 9:33:01 AM,C,22.636
5/9/11 9:48:01 AM,C,24.137
5/9/11 10:03:01 AM,C,24.137
5/9/11 10:18:01 AM,C,23.636
5/9/11 10:33:01 AM,C,25.137
5/9/11 10:48:01 AM,C,25.637
5/9/11 11:03:01 AM,C,26.637
5/9/11 11:18:01 AM,C,27.636
5/9/11 11:33:01 AM,C,26.137
5/9/11 11:48:01 AM,C,26.637
5/9/11 12:03:01 PM,C,26.637
5/9/11 12:18:01 PM,C,26.637
5/9/11 12:33:01 PM,C,26.637
5/9/11 12:48:01 PM,C,27.636
5/9/11 1:03:01 PM,C,28.636
5/9/11 1:18:01 PM,C,27.636
5/9/11 1:33:01 PM,C,28.136
5/9/11 1:48:01 PM,C,29.135
5/9/11 2:03:01 PM,C,29.135
5/9/11 2:18:01 PM,C,28.636
5/9/11 2:33:01 PM,C,28.636
5/9/11 2:48:01 PM,C,30.135
5/9/11 3:03:01 PM,C,30.135
5/9/11 3:18:01 PM,C,29.135
5/9/11 3:33:01 PM,C,30.634
5/9/11 3:48:01 PM,C,28.636
5/9/11 4:03:01 PM,C,29.135
5/9/11 4:18:01 PM,C,30.135
5/9/11 4:33:01 PM,C,29.635
5/9/11 4:48:01 PM,C,27.136
5/9/11 5:03:01 PM,C,27.136
5/9/11 5:18:01 PM,C,29.635
5/9/11 5:33:01 PM,C,27.136
5/9/11 5:48:01 PM,C,28.136
5/9/11 6:03:01 PM,C,26.637
5/9/11 6:18:01 PM,C,26.137
5/9/11 6:33:01 PM,C,29.135
5/9/11 6:48:01 PM,C,25.637
5/9/11 7:03:01 PM,C,28.136
5/9/11 7:18:01 PM,C,26.137
5/9/11 7:33:01 PM,C,24.637
5/9/11 7:48:01 PM,C,24.637
5/9/11 8:03:01 PM,C,24.137
5/9/11 8:18:01 PM,C,23.136
5/9/11 8:33:01 PM,C,22.636
5/9/11 8:48:01 PM,C,22.136
5/9/11 9:03:01 PM,C,21.635
5/9/11 9:18:01 PM,C,21.135
5/9/11 9:33:01 PM,C,20.634
5/9/11 9:48:01 PM,C,20.634
5/9/11 10:03:01 PM,C,21.135
5/9/11 10:18:01 PM,C,20.634
5/9/11 10:33:01 PM,C,20.134
5/9/11 10:48:01 PM,C,20.134
5/9/11 11:03:01 PM,C,20.634
5/9/11 11:18:01 PM,C,20.634
5/9/11 11:33:01 PM,C,19.133
5/9/11 11:48:01 PM,C,20.134
5/10/11 12:03:01 AM,C,20.134
5/10/11 12:18:01 AM,C,19.133
5/10/11 12:33:01 AM,C,19.133
5/10/11 12:48:01 AM,C,18.632
5/10/11 1:03:01 AM,C,18.632
5/10/11 1:18:01 AM,C,21.635
5/10/11 1:33:01 AM,C,21.635
5/10/11 1:48:01 AM,C,21.635
5/10/11 2:03:01 AM,C,21.135
5/10/11 2:18:01 AM,C,19.633
5/10/11 2:33:01 AM,C,19.633
5/10/11 2:48:01 AM,C,19.633
5/10/11 3:03:01 AM,C,19.633
5/10/11 3:18:01 AM,C,19.133
5/10/11 3:33:01 AM,C,19.133
5/10/11 3:48:01 AM,C,19.133
5/10/11 4:03:01 AM,C,18.632
5/10/11 4:18:01 AM,C,18.632
5/10/11 4:33:01 AM,C,18.632
5/10/11 4:48:01 AM,C,18.131
5/10/11 5:03:01 AM,C,18.131
5/10/11 5:18:01 AM,C,17.63
5/10/11 5:33:01 AM,C,18.131
5/10/11 5:48:01 AM,C,19.133
5/10/11 6:03:01 AM,C,19.133
5/10/11 6:18:01 AM,C,18.632
5/10/11 6:33:01 AM,C,18.632
5/10/11 6:48:01 AM,C,18.632
5/10/11 7:03:01 AM,C,18.632
5/10/11 7:18:01 AM,C,18.131
5/10/11 7:33:01 AM,C,17.63
5/10/11 7:48:01 AM,C,18.632
5/10/11 8:03:01 AM,C,17.63
5/10/11 8:18:01 AM,C,18.131
5/10/11 8:33:01 AM,C,18.632
5/10/11 8:48:01 AM,C,20.134
5/10/11 9:03:01 AM,C,22.636
5/10/11 9:18:01 AM,C,23.136
5/10/11 9:33:01 AM,C,23.136
5/10/11 9:48:01 AM,C,23.136
5/10/11 10:03:01 AM,C,23.636
5/10/11 10:18:01 AM,C,23.636
5/10/11 10:33:01 AM,C,24.637
5/10/11 10:48:01 AM,C,24.137
5/10/11 11:03:01 AM,C,26.137
5/10/11 11:18:01 AM,C,25.637
5/10/11 11:33:01 AM,C,26.137
5/10/11 11:48:01 AM,C,26.137
5/10/11 12:03:01 PM,C,27.136
5/10/11 12:18:01 PM,C,26.137
5/10/11 12:33:01 PM,C,26.637
5/10/11 12:48:01 PM,C,27.636
5/10/11 1:03:01 PM,C,28.136
5/10/11 1:18:01 PM,C,26.637
5/10/11 1:33:01 PM,C,27.636
5/10/11 1:48:01 PM,C,29.135
5/10/11 2:03:01 PM,C,28.136
5/10/11 2:18:01 PM,C,27.636
5/10/11 2:33:01 PM,C,28.136
5/10/11 2:48:01 PM,C,29.635
5/10/11 3:03:01 PM,C,28.636
5/10/11 3:18:01 PM,C,28.636
5/10/11 3:33:01 PM,C,29.635
5/10/11 3:48:01 PM,C,30.135
5/10/11 4:03:01 PM,C,28.136
5/10/11 4:18:01 PM,C,29.135
5/10/11 4:33:01 PM,C,28.136
5/10/11 4:48:01 PM,C,30.634
5/10/11 5:03:01 PM,C,28.136
5/10/11 5:18:01 PM,C,30.634
5/10/11 5:33:01 PM,C,27.636
5/10/11 5:48:01 PM,C,29.635
5/10/11 6:03:01 PM,C,28.636
5/10/11 6:18:01 PM,C,30.135
5/10/11 6:33:01 PM,C,29.135
5/10/11 6:48:01 PM,C,28.136
5/10/11 7:03:01 PM,C,26.637
5/10/11 7:18:01 PM,C,25.137
5/10/11 7:33:01 PM,C,24.637
5/10/11 7:48:01 PM,C,24.137
5/10/11 8:03:01 PM,C,23.636
5/10/11 8:18:01 PM,C,23.636
5/10/11 8:33:01 PM,C,23.136
5/10/11 8:48:01 PM,C,23.136
5/10/11 9:03:01 PM,C,23.636
5/10/11 9:18:01 PM,C,23.636
5/10/11 9:33:01 PM,C,23.636
5/10/11 9:48:01 PM,C,23.136
5/10/11 10:03:01 PM,C,23.636
5/10/11 10:18:01 PM,C,23.136
5/10/11 10:33:01 PM,C,22.636
5/10/11 10:48:01 PM,C,22.636
5/10/11 11:03:01 PM,C,22.636
5/10/11 11:18:01 PM,C,22.636
5/10/11 11:33:01 PM,C,22.636
5/10/11 11:48:01 PM,C,22.636
5/11/11 12:03:01 AM,C,21.635
5/11/11 12:18:01 AM,C,21.635
5/11/11 12:33:01 AM,C,21.135
5/11/11 12:48:01 AM,C,21.135
5/11/11 1:03:01 AM,C,20.634
5/11/11 1:18:01 AM,C,20.134
5/11/11 1:33:01 AM,C,19.633
5/11/11 1:48:01 AM,C,19.133
5/11/11 2:03:01 AM,C,18.632
5/11/11 2:18:01 AM,C,17.63
5/11/11 2:33:01 AM,C,17.13
5/11/11 2:48:01 AM,C,16.128
5/11/11 3:03:01 AM,C,15.627
5/11/11 3:18:01 AM,C,15.126
5/11/11 3:33:01 AM,C,14.124
5/11/11 3:48:01 AM,C,13.622
5/11/11 4:03:01 AM,C,13.622
5/11/11 4:18:01 AM,C,12.62
5/11/11 4:33:01 AM,C,12.118
5/11/11 4:48:01 AM,C,11.617
5/11/11 5:03:01 AM,C,11.116
5/11/11 5:18:01 AM,C,11.116
5/11/11 5:33:01 AM,C,10.614
5/11/11 5:48:01 AM,C,10.113
5/11/11 6:03:01 AM,C,9.611
5/11/11 6:18:01 AM,C,9.611
5/11/11 6:33:01 AM,C,9.109
5/11/11 6:48:01 AM,C,9.109
5/11/11 7:03:01 AM,C,8.608
5/11/11 7:18:01 AM,C,8.106
5/11/11 7:33:01 AM,C,9.611
5/11/11 7:48:01 AM,C,13.121
5/11/11 8:03:01 AM,C,14.124
5/11/11 8:18:01 AM,C,13.121
5/11/11 8:33:01 AM,C,14.625
5/11/11 8:48:01 AM,C,14.124
5/11/11 9:03:01 AM,C,15.126
5/11/11 9:18:01 AM,C,14.625
5/11/11 9:33:01 AM,C,15.627
5/11/11 9:48:01 AM,C,16.128
5/11/11 10:03:01 AM,C,17.13
5/11/11 10:18:01 AM,C,17.63
5/11/11 10:33:01 AM,C,18.632
5/11/11 10:48:01 AM,C,18.131
5/11/11 11:03:01 AM,C,19.633
5/11/11 11:18:01 AM,C,20.134
5/11/11 11:33:01 AM,C,19.633
5/11/11 11:48:01 AM,C,19.133
5/11/11 12:03:01 PM,C,20.134
5/11/11 12:18:01 PM,C,19.633
5/11/11 12:33:01 PM,C,20.134
5/11/11 12:48:01 PM,C,20.634
5/11/11 1:03:01 PM,C,21.135
5/11/11 1:18:01 PM,C,21.135
5/11/11 1:33:01 PM,C,20.634
5/11/11 1:48:01 PM,C,22.136
5/11/11 2:03:01 PM,C,21.635
5/11/11 2:18:01 PM,C,21.635
5/11/11 2:33:01 PM,C,21.635
5/11/11 2:48:01 PM,C,22.636
5/11/11 3:03:01 PM,C,22.636
5/11/11 3:18:01 PM,C,21.135
5/11/11 3:33:01 PM,C,22.636
5/11/11 3:48:01 PM,C,23.136
5/11/11 4:03:01 PM,C,22.136
5/11/11 4:18:01 PM,C,23.136
5/11/11 4:33:01 PM,C,22.636
5/11/11 4:48:01 PM,C,24.137
5/11/11 5:03:01 PM,C,25.137
5/11/11 5:18:01 PM,C,23.636
5/11/11 5:33:01 PM,C,22.636
5/11/11 5:48:01 PM,C,23.136
5/11/11 6:03:01 PM,C,25.137
5/11/11 6:18:01 PM,C,27.636
5/11/11 6:33:01 PM,C,25.137
5/11/11 6:48:01 PM,C,23.136
5/11/11 7:03:01 PM,C,23.636
5/11/11 7:18:01 PM,C,23.636
5/11/11 7:33:01 PM,C,20.134
5/11/11 7:48:01 PM,C,19.133
5/11/11 8:03:01 PM,C,19.133
5/11/11 8:18:01 PM,C,18.131
5/11/11 8:33:01 PM,C,17.63
5/11/11 8:48:01 PM,C,17.13
5/11/11 9:03:01 PM,C,16.629
5/11/11 9:18:01 PM,C,15.627
5/11/11 9:33:01 PM,C,15.627
5/11/11 9:48:01 PM,C,15.126
5/11/11 10:03:01 PM,C,14.625
5/11/11 10:18:01 PM,C,14.625
5/11/11 10:33:01 PM,C,14.124
5/11/11 10:48:01 PM,C,13.622
5/11/11 11:03:01 PM,C,13.622
5/11/11 11:18:01 PM,C,13.121
5/11/11 11:33:01 PM,C,13.121
5/11/11 11:48:01 PM,C,12.62
5/12/11 12:03:01 AM,C,13.121
5/12/11 12:18:01 AM,C,12.118
5/12/11 12:33:01 AM,C,12.62
5/12/11 12:48:01 AM,C,12.62
5/12/11 1:03:01 AM,C,12.118
5/12/11 1:18:01 AM,C,12.118
5/12/11 1:33:01 AM,C,12.118
5/12/11 1:48:01 AM,C,12.118
5/12/11 2:03:01 AM,C,12.118
5/12/11 2:18:01 AM,C,12.62
5/12/11 2:33:01 AM,C,12.62
5/12/11 2:48:01 AM,C,13.622
5/12/11 3:03:01 AM,C,13.622
5/12/11 3:18:01 AM,C,13.121
5/12/11 3:33:01 AM,C,13.121
5/12/11 3:48:01 AM,C,12.118
5/12/11 4:03:01 AM,C,12.62
5/12/11 4:18:01 AM,C,12.118
5/12/11 4:33:01 AM,C,12.118
5/12/11 4:48:01 AM,C,11.617
5/12/11 5:03:01 AM,C,11.617
5/12/11 5:18:01 AM,C,11.116
5/12/11 5:33:01 AM,C,11.116
5/12/11 5:48:01 AM,C,11.116
5/12/11 6:03:01 AM,C,11.116
5/12/11 6:18:01 AM,C,11.617
5/12/11 6:33:01 AM,C,12.118
5/12/11 6:48:01 AM,C,12.118
5/12/11 7:03:01 AM,C,12.118
5/12/11 7:18:01 AM,C,12.62
5/12/11 7:33:01 AM,C,13.121
5/12/11 7:48:01 AM,C,17.13
5/12/11 8:03:01 AM,C,19.133
5/12/11 8:18:01 AM,C,17.13
5/12/11 8:33:01 AM,C,19.133
5/12/11 8:48:01 AM,C,18.632
5/12/11 9:03:01 AM,C,18.632
5/12/11 9:18:01 AM,C,18.632
5/12/11 9:33:01 AM,C,18.632
5/12/11 9:48:01 AM,C,19.633
5/12/11 10:03:01 AM,C,19.633
5/12/11 10:18:01 AM,C,20.134
5/12/11 10:33:01 AM,C,20.634
5/12/11 10:48:01 AM,C,21.135
5/12/11 11:03:01 AM,C,22.136
5/12/11 11:18:01 AM,C,22.136
5/12/11 11:33:01 AM,C,22.636
5/12/11 11:48:01 AM,C,22.636
5/12/11 12:03:01 PM,C,22.136
5/12/11 12:18:01 PM,C,22.136
5/12/11 12:33:01 PM,C,21.635
5/12/11 12:48:01 PM,C,23.136
5/12/11 1:03:01 PM,C,22.636
5/12/11 1:18:01 PM,C,23.636
5/12/11 1:33:01 PM,C,23.136
5/12/11 1:48:01 PM,C,25.137
5/12/11 2:03:01 PM,C,24.137
5/12/11 2:18:01 PM,C,25.637
5/12/11 2:33:01 PM,C,24.637
5/12/11 2:48:01 PM,C,24.637
5/12/11 3:03:01 PM,C,25.137
5/12/11 3:18:01 PM,C,24.137
5/12/11 3:33:01 PM,C,25.637
5/12/11 3:48:01 PM,C,26.637
5/12/11 4:03:01 PM,C,24.637
5/12/11 4:18:01 PM,C,25.137
5/12/11 4:33:01 PM,C,25.637
5/12/11 4:48:01 PM,C,26.637
5/12/11 5:03:01 PM,C,29.135
5/12/11 5:18:01 PM,C,26.637
5/12/11 5:33:01 PM,C,25.137
5/12/11 5:48:01 PM,C,25.137
5/12/11 6:03:01 PM,C,27.136
5/12/11 6:18:01 PM,C,27.136
5/12/11 6:33:01 PM,C,29.135
5/12/11 6:48:01 PM,C,26.137
5/12/11 7:03:01 PM,C,25.137
5/12/11 7:18:01 PM,C,25.137
5/12/11 7:33:01 PM,C,22.136
5/12/11 7:48:01 PM,C,20.634
5/12/11 8:03:01 PM,C,20.634
5/12/11 8:18:01 PM,C,19.633
5/12/11 8:33:01 PM,C,19.633
5/12/11 8:48:01 PM,C,19.133
5/12/11 9:03:01 PM,C,18.632
5/12/11 9:18:01 PM,C,18.131
5/12/11 9:33:01 PM,C,18.131
5/12/11 9:48:01 PM,C,17.13
5/12/11 10:03:01 PM,C,17.63
5/12/11 10:18:01 PM,C,16.629
5/12/11 10:33:01 PM,C,16.128
5/12/11 10:48:01 PM,C,16.629
5/12/11 11:03:01 PM,C,16.629
5/12/11 11:18:01 PM,C,15.627
5/12/11 11:33:01 PM,C,15.627
5/12/11 11:48:01 PM,C,15.627
5/13/11 12:03:01 AM,C,15.627
5/13/11 12:18:01 AM,C,15.126
5/13/11 12:33:01 AM,C,14.124
5/13/11 12:48:01 AM,C,14.124
5/13/11 1:03:01 AM,C,13.622
5/13/11 1:18:01 AM,C,13.622
5/13/11 1:33:01 AM,C,14.124
5/13/11 1:48:01 AM,C,14.124
5/13/11 2:03:01 AM,C,14.124
5/13/11 2:18:01 AM,C,14.124
5/13/11 2:33:01 AM,C,13.622
5/13/11 2:48:01 AM,C,13.622
5/13/11 3:03:01 AM,C,14.124
5/13/11 3:18:01 AM,C,14.124
5/13/11 3:33:01 AM,C,13.622
5/13/11 3:48:01 AM,C,14.124
5/13/11 4:03:01 AM,C,14.124
5/13/11 4:18:01 AM,C,14.124
5/13/11 4:33:01 AM,C,13.622
5/13/11 4:48:01 AM,C,13.622
5/13/11 5:03:01 AM,C,13.121
5/13/11 5:18:01 AM,C,12.62
5/13/11 5:33:01 AM,C,12.118
5/13/11 5:48:01 AM,C,14.124
5/13/11 6:03:01 AM,C,13.121
5/13/11 6:18:01 AM,C,12.118
5/13/11 6:33:01 AM,C,10.113
5/13/11 6:48:01 AM,C,10.113
5/13/11 7:03:01 AM,C,9.611
5/13/11 7:18:01 AM,C,10.113
5/13/11 7:33:01 AM,C,11.116
5/13/11 7:48:01 AM,C,15.126
5/13/11 8:03:01 AM,C,15.126
5/13/11 8:18:01 AM,C,14.124
5/13/11 8:33:01 AM,C,15.627
5/13/11 8:48:01 AM,C,14.625
5/13/11 9:03:01 AM,C,14.625
5/13/11 9:18:01 AM,C,14.625
5/13/11 9:33:01 AM,C,15.627
5/13/11 9:48:01 AM,C,16.629
5/13/11 10:03:01 AM,C,17.13
5/13/11 10:18:01 AM,C,18.131
5/13/11 10:33:01 AM,C,20.134
5/13/11 10:48:01 AM,C,19.633
5/13/11 11:03:01 AM,C,20.634
5/13/11 11:18:01 AM,C,22.136
5/13/11 11:33:01 AM,C,23.636
5/13/11 11:48:01 AM,C,23.136
5/13/11 12:03:01 PM,C,24.137
5/13/11 12:18:01 PM,C,24.137
5/13/11 12:33:01 PM,C,23.636
5/13/11 12:48:01 PM,C,24.637
5/13/11 1:03:01 PM,C,24.637
5/13/11 1:18:01 PM,C,24.137
5/13/11 1:33:01 PM,C,25.137
5/13/11 1:48:01 PM,C,26.637
5/13/11 2:03:01 PM,C,25.637
5/13/11 2:18:01 PM,C,25.637
5/13/11 2:33:01 PM,C,27.136
5/13/11 2:48:01 PM,C,28.636
5/13/11 3:03:01 PM,C,27.636
5/13/11 3:18:01 PM,C,26.637
5/13/11 3:33:01 PM,C,26.637
5/13/11 3:48:01 PM,C,28.636
5/13/11 4:03:01 PM,C,26.137
5/13/11 4:18:01 PM,C,25.637
5/13/11 4:33:01 PM,C,26.137
5/13/11 4:48:01 PM,C,27.636
5/13/11 5:03:01 PM,C,30.135
5/13/11 5:18:01 PM,C,27.636
5/13/11 5:33:01 PM,C,26.137
5/13/11 5:48:01 PM,C,25.637
5/13/11 6:03:01 PM,C,27.636
5/13/11 6:18:01 PM,C,29.135
5/13/11 6:33:01 PM,C,29.135
5/13/11 6:48:01 PM,C,25.637
5/13/11 7:03:01 PM,C,24.137
5/13/11 7:18:01 PM,C,24.637
5/13/11 7:33:01 PM,C,21.135
5/13/11 7:48:01 PM,C,19.633
5/13/11 8:03:01 PM,C,19.633
5/13/11 8:18:01 PM,C,19.133
5/13/11 8:33:01 PM,C,18.632
5/13/11 8:48:01 PM,C,18.131
5/13/11 9:03:01 PM,C,17.63
5/13/11 9:18:01 PM,C,17.13
5/13/11 9:33:01 PM,C,16.629
5/13/11 9:48:01 PM,C,16.128
5/13/11 10:03:01 PM,C,16.128
5/13/11 10:18:01 PM,C,16.128
5/13/11 10:33:01 PM,C,15.627
5/13/11 10:48:01 PM,C,15.627
5/13/11 11:03:01 PM,C,15.126
5/13/11 11:18:01 PM,C,15.627
5/13/11 11:33:01 PM,C,15.627
5/13/11 11:48:01 PM,C,16.128
5/14/11 12:03:01 AM,C,15.627
5/14/11 12:18:01 AM,C,15.627
5/14/11 12:33:01 AM,C,15.126
5/14/11 12:48:01 AM,C,14.625
5/14/11 1:03:01 AM,C,14.625
5/14/11 1:18:01 AM,C,14.625
5/14/11 1:33:01 AM,C,14.625
5/14/11 1:48:01 AM,C,14.625
5/14/11 2:03:01 AM,C,14.124
5/14/11 2:18:01 AM,C,14.124
5/14/11 2:33:01 AM,C,14.124
5/14/11 2:48:01 AM,C,14.124
5/14/11 3:03:01 AM,C,13.622
5/14/11 3:18:01 AM,C,13.622
5/14/11 3:33:01 AM,C,13.121
5/14/11 3:48:01 AM,C,13.121
5/14/11 4:03:01 AM,C,13.121
5/14/11 4:18:01 AM,C,13.121
5/14/11 4:33:01 AM,C,13.121
5/14/11 4:48:01 AM,C,13.121
5/14/11 5:03:01 AM,C,12.62
5/14/11 5:18:01 AM,C,12.62
5/14/11 5:33:01 AM,C,13.121
5/14/11 5:48:01 AM,C,13.121
5/14/11 6:03:01 AM,C,13.121
5/14/11 6:18:01 AM,C,13.622
5/14/11 6:33:01 AM,C,13.622
5/14/11 6:48:01 AM,C,13.121
5/14/11 7:03:01 AM,C,13.121
5/14/11 7:18:01 AM,C,13.622
5/14/11 7:33:01 AM,C,13.622
5/14/11 7:48:01 AM,C,15.126
5/14/11 8:03:01 AM,C,15.627
5/14/11 8:18:01 AM,C,15.126
5/14/11 8:33:01 AM,C,15.627
5/14/11 8:48:01 AM,C,16.128
5/14/11 9:03:01 AM,C,16.128
5/14/11 9:18:01 AM,C,16.629
5/14/11 9:33:01 AM,C,17.13
5/14/11 9:48:01 AM,C,18.131
5/14/11 10:03:01 AM,C,18.632
5/14/11 10:18:01 AM,C,18.632
5/14/11 10:33:01 AM,C,20.634
5/14/11 10:48:01 AM,C,20.134
5/14/11 11:03:01 AM,C,21.135
5/14/11 11:18:01 AM,C,21.635
5/14/11 11:33:01 AM,C,22.636
5/14/11 11:48:01 AM,C,22.136
5/14/11 12:03:01 PM,C,22.136
5/14/11 12:18:01 PM,C,23.636
5/14/11 12:33:01 PM,C,22.636
5/14/11 12:48:01 PM,C,23.136
5/14/11 1:03:01 PM,C,24.137
5/14/11 1:18:01 PM,C,24.137
5/14/11 1:33:01 PM,C,23.636
5/14/11 1:48:01 PM,C,24.137
5/14/11 2:03:01 PM,C,24.637
5/14/11 2:18:01 PM,C,25.137
5/14/11 2:33:01 PM,C,25.637
5/14/11 2:48:01 PM,C,28.136
5/14/11 3:03:01 PM,C,26.137
5/14/11 3:18:01 PM,C,25.637
5/14/11 3:33:01 PM,C,25.137
5/14/11 3:48:01 PM,C,28.136
5/14/11 4:03:01 PM,C,26.137
5/14/11 4:18:01 PM,C,25.137
5/14/11 4:33:01 PM,C,25.637
5/14/11 4:48:01 PM,C,28.136
5/14/11 5:03:01 PM,C,28.136
5/14/11 5:18:01 PM,C,26.137
5/14/11 5:33:01 PM,C,23.636
5/14/11 5:48:01 PM,C,25.637
5/14/11 6:03:01 PM,C,24.637
5/14/11 6:18:01 PM,C,27.136
5/14/11 6:33:01 PM,C,24.637
5/14/11 6:48:01 PM,C,24.637
5/14/11 7:03:01 PM,C,24.637
5/14/11 7:18:01 PM,C,24.637
5/14/11 7:33:01 PM,C,21.635
5/14/11 7:48:01 PM,C,20.634
5/14/11 8:03:01 PM,C,20.134
5/14/11 8:18:01 PM,C,19.633
5/14/11 8:33:01 PM,C,19.133
5/14/11 8:48:01 PM,C,18.632
5/14/11 9:03:01 PM,C,18.131
5/14/11 9:18:01 PM,C,17.63
5/14/11 9:33:01 PM,C,17.13
5/14/11 9:48:01 PM,C,17.13
5/14/11 10:03:01 PM,C,16.629
5/14/11 10:18:01 PM,C,16.629
5/14/11 10:33:01 PM,C,16.128
5/14/11 10:48:01 PM,C,15.627
5/14/11 11:03:01 PM,C,15.627
5/14/11 11:18:01 PM,C,15.627
5/14/11 11:33:01 PM,C,15.126
5/14/11 11:48:01 PM,C,15.126
5/15/11 12:03:01 AM,C,15.126
5/15/11 12:18:01 AM,C,15.126
5/15/11 12:33:01 AM,C,14.625
5/15/11 12:48:01 AM,C,14.625
5/15/11 1:03:01 AM,C,14.625
5/15/11 1:18:01 AM,C,14.124
5/15/11 1:33:01 AM,C,14.124
5/15/11 1:48:01 AM,C,14.124
5/15/11 2:03:01 AM,C,13.622
5/15/11 2:18:01 AM,C,14.124
5/15/11 2:33:01 AM,C,13.622
5/15/11 2:48:01 AM,C,13.622
5/15/11 3:03:01 AM,C,13.622
5/15/11 3:18:01 AM,C,13.622
5/15/11 3:33:01 AM,C,13.121
