1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3C0000001340C041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Apr 15 13:07:01 CDT 2012
Mission Sample Count:  7202
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Apr 15 13:07:01 CDT 2012
Total Mission Samples:  7202
Total Device Samples:  20530
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/21/12 5:07:01 AM,C,9.136
4/21/12 6:07:01 AM,C,8.634
4/21/12 7:07:01 AM,C,5.115
4/21/12 8:07:01 AM,C,11.145
4/21/12 9:07:01 AM,C,11.145
4/21/12 10:07:01 AM,C,14.657
4/21/12 11:07:01 AM,C,16.162
4/21/12 12:07:01 PM,C,17.665
4/21/12 1:07:01 PM,C,19.168
4/21/12 2:07:01 PM,C,21.672
4/21/12 3:07:01 PM,C,20.671
4/21/12 4:07:01 PM,C,22.673
4/21/12 5:07:01 PM,C,22.172
4/21/12 6:07:01 PM,C,21.171
4/21/12 7:07:01 PM,C,20.671
4/21/12 8:07:01 PM,C,16.663
4/21/12 9:07:01 PM,C,13.654
4/21/12 10:07:01 PM,C,11.647
4/21/12 11:07:01 PM,C,13.153
4/22/12 12:07:01 AM,C,14.156
4/22/12 1:07:01 AM,C,13.153
4/22/12 2:07:01 AM,C,13.153
4/22/12 3:07:01 AM,C,12.149
4/22/12 4:07:01 AM,C,10.643
4/22/12 5:07:01 AM,C,11.647
4/22/12 6:07:01 AM,C,11.647
4/22/12 7:07:01 AM,C,11.145
4/22/12 8:07:01 AM,C,12.149
4/22/12 9:07:01 AM,C,13.654
4/22/12 10:07:01 AM,C,19.669
4/22/12 11:07:01 AM,C,20.17
4/22/12 12:07:01 PM,C,20.17
4/22/12 1:07:01 PM,C,22.172
4/22/12 2:07:01 PM,C,23.673
4/22/12 3:07:01 PM,C,23.173
4/22/12 4:07:01 PM,C,25.174
4/22/12 5:07:01 PM,C,23.673
4/22/12 6:07:01 PM,C,24.674
4/22/12 7:07:01 PM,C,22.172
4/22/12 8:07:01 PM,C,18.667
4/22/12 9:07:01 PM,C,16.663
4/22/12 10:07:01 PM,C,17.164
4/22/12 11:07:01 PM,C,15.159
4/23/12 12:07:01 AM,C,14.156
4/23/12 1:07:01 AM,C,14.657
4/23/12 2:07:01 AM,C,13.654
4/23/12 3:07:01 AM,C,14.156
4/23/12 4:07:01 AM,C,13.654
4/23/12 5:07:01 AM,C,13.654
4/23/12 6:07:01 AM,C,12.651
4/23/12 7:07:01 AM,C,13.654
4/23/12 8:07:01 AM,C,13.654
4/23/12 9:07:01 AM,C,16.162
4/23/12 10:07:01 AM,C,18.667
4/23/12 11:07:01 AM,C,19.168
4/23/12 12:07:01 PM,C,19.669
